root@fx8350:/mnt/c/UDACITY/TERM2/carnd2-proj4/build# ./pid
Listening to port 4567
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=92 ***********  PID Kp=0.6 PID Ki=0.001 PID Kd=1 MeanE2=0.719839
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=93 ***********  PID Kp=0.65 PID Ki=0.001 PID Kd=1 MeanE2=0.997559
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=94 ***********  PID Kp=0.7 PID Ki=0.001 PID Kd=1 MeanE2=1.10357
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=95 ***********  PID Kp=0.75 PID Ki=0.001 PID Kd=1 MeanE2=1.02253
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=96 ***********  PID Kp=0.8 PID Ki=0.001 PID Kd=1 MeanE2=0.733957
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=97 ***********  PID Kp=0.85 PID Ki=0.001 PID Kd=1 MeanE2=0.807931
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=98 ***********  PID Kp=0.9 PID Ki=0.001 PID Kd=1 MeanE2=0.954176
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=99 ***********  PID Kp=0.95 PID Ki=0.001 PID Kd=1 MeanE2=1.20337
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=100 ***********  PID Kp=0 PID Ki=0.001 PID Kd=1.25 MeanE2=1.96712
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=101 ***********  PID Kp=0.05 PID Ki=0.001 PID Kd=1.25 MeanE2=0.301544
mean_error_squared_best=0.301544 kp_best=0.05 ki_best=0.001 kd_best=1.25
*********** ITER=102 ***********  PID Kp=0.1 PID Ki=0.001 PID Kd=1.25 MeanE2=0.571465
mean_error_squared_best=0.301544 kp_best=0.05 ki_best=0.001 kd_best=1.25
*********** ITER=103 ***********  PID Kp=0.15 PID Ki=0.001 PID Kd=1.25 MeanE2=0.335962
mean_error_squared_best=0.301544 kp_best=0.05 ki_best=0.001 kd_best=1.25
*********** ITER=104 ***********  PID Kp=0.2 PID Ki=0.001 PID Kd=1.25 MeanE2=0.270421
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=105 ***********  PID Kp=0.25 PID Ki=0.001 PID Kd=1.25 MeanE2=0.323888
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=106 ***********  PID Kp=0.3 PID Ki=0.001 PID Kd=1.25 MeanE2=0.617656
mean_error_squared_best=0.270421 kp_best=0.2 ki_best=0.001 kd_best=1.25
*********** ITER=107 ***********  PID Kp=0.35 PID Ki=0.001 PID Kd=1.25 MeanE2=0.748631
